run_id,n,log_q,w,secret_type,sigma,eta,available_cores,success,iterations_used,time_elapsed,estimated_time,error
1,256,12,11,binomial,,2,8,True,44085,21.994170665740967,969613.0137991905,
2,256,12,11,binomial,,2,8,True,41123,24.187055826187134,994644.2967402935,
3,256,12,11,binomial,,2,8,True,94145,25.58715057373047,2408902.290763855,
4,256,12,11,binomial,,2,8,True,103121,16.70449686050415,1722584.4207520485,
5,256,12,11,binomial,,2,8,True,21416,16.800661087036133,359802.9578399658,
6,256,12,11,binomial,,2,8,True,6159,16.8840970993042,103989.15403461456,
7,256,12,11,binomial,,2,8,True,49283,18.598156690597534,916572.9561827183,
8,256,12,11,binomial,,2,8,True,2624,22.39263391494751,58758.271392822266,
9,256,12,11,binomial,,2,8,False,414108,0.00015783309936523438,65.35994911193848, # just didn't find it in the number of iterations given so don't use it
10,256,12,11,binomial,,2,8,True,43514,18.860302448272705,820687.2007341385,
